x,y
-0.015012987021614466,0.055516364066613956
0.18372062869588862,0.06743500906768225
0.3826123758035449,0.060648684381001905
0.5765025032896616,0.017572068707517718
0.7469822843312826,-0.08338667656724155
0.8731785033628099,-0.2363275195349665
0.9469330134177896,-0.4206102485135321
0.9763824259312913,-0.6173151698072974
0.983010431403969,-0.8162966148841994
0.9785698312951929,-1.0153509174164685
0.9568897536463234,-1.2131742438270106
0.9070288652156518,-1.4057850658483118
0.8378169270700623,-1.592473494407972
0.7645813742831589,-1.7776455839659746
0.6907856325438522,-1.9625942160829999
0.6149733522361693,-2.146726097773814
0.5412836463670468,-2.3317116816604755
0.4731023549396518,-2.518798943018447
0.403736012941506,-2.705436634167937
0.3175671251600741,-2.8848030400306186
0.20820799680650653,-3.0510563699229256
0.07892652405571084,-3.2023478559668175
-0.07004434823392147,-3.3341820047832966
-0.24167003846904456,-3.434320898000369
-0.43279581350461693,-3.4882837440571457
-0.6314560949398879,-3.4963858908679675
-0.8293310224443591,-3.4748893687298468
-1.0240964107484047,-3.433843953320241
-1.212622424889955,-3.3701217319743693
-1.3920790899418998,-3.2840736689410397
-1.5591464468839251,-3.175994531484692
-1.7102639015939505,-3.0464976956059315
-1.8477185598163728,-2.902493897269759
-1.9726007946974058,-2.7474863308861903
-2.072018434017339,-2.57542137465007
-2.1224161937084554,-2.3833653346392265
-2.133663340143499,-2.18469186918173
-2.1267365660479274,-1.9857130750424807
-2.110112073647082,-1.7872922429934115
-2.086085660396597,-1.5896286937885635
-2.053688531476281,-1.3931774407048743
-2.004949896034218,-1.2002099012357186
-1.934689829897564,-1.0139738077258413
-1.8497648857717146,-0.8338979807205448
-1.7541217843913086,-0.6592737541129562
-1.6473418305360954,-0.4912436304362242
-1.525332361297404,-0.3340268624492614
-1.3762456122917235,-0.20283308519074605
-1.1960643236444808,-0.11957972987296685
-1.0016582860459122,-0.07721186149007557
-0.8045507772001906,-0.04892886911112934
-0.6075351163062603,-0.02000237122644221
-0.41045565933449796,0.00848125726250261
-0.2129591813674821,0.03390906617958973
